the_geom,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON
POINT (-122.399599008811 37.785485948196),862,661 HOWARD ST,ThirstyBear Brewing,HOWARD,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:21 AM +0000,{4E14BDE0-424F-49CB-81DD-92DD1B8B34A0},0,0,37.785481,-122.399586
POINT (-122.394608298936 37.763668250819),2134,223 MISSISSIPPI ST SUITE #2,4SP Films,MISSISSIPPI,SIDEWALK,2,4,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:22:02 AM +0000,{7EC383A9-10F3-49AF-93D0-3FD070B25A66},2015,10,37.763663,-122.394595
POINT (-122.426550407781 37.776727968237),1389,602 HAYES ST,HSM Realty,HAYES,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:52 AM +0000,{F1EEC8FF-D536-4ACD-944B-3BF3B965ADF2},2010,0,37.776723,-122.426537
POINT (-122.390415008208 37.75367994819),666,1325 INDIANA ST,Dekko Salon,INDIANA,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:22 AM +0000,{391E72AB-6359-4CC7-B883-742FBA6583EC},2011,4,37.753675,-122.390402
POINT (-122.431047008518 37.774177947236),350,501 FILLMORE ST,Key Food Grocery,FILLMORE,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:19 AM +0000,{D9030BB3-1B79-469F-98D3-B241687E7C97},2003,0,37.774173,-122.431034
POINT (-122.421431009035 37.757039947667),1158,992 VALENCIA ST,Dogpatch Biofuels,VALENCIA,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:21 AM +0000,{84CD7593-AADF-4BA1-8D35-E6CCEF0EF1AC},2010,0,37.757035,-122.421418
POINT (-122.464556008179 37.764294947215),1548,616 IRVING ST,Chloe's Closet,IRVING,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:53 AM +0000,{E1E6D90D-B856-472A-BEA8-F90831AF68AA},2010,0,37.76429,-122.464543
POINT (-122.467480008974 37.739697947652),1773,100 WEST PORTAL AVE,Starbucks,WEST PORTAL,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:03 AM +0000,{4A5DA79D-50CD-4EC5-93E0-0CDC17DD3BC7},0,0,37.739693,-122.467467
POINT (-122.426629008882 37.763154947832),582,398 DOLORES ST,Maxfield's House of Coffee,DOLORES,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:21 AM +0000,{FDF7CA37-CFCB-4BA5-AD21-CCA7D24D40E6},2004,0,37.76315,-122.426616
POINT (-122.402668008935 37.781145947198),2212,858 FOLSOM ST,Jamber,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:04 AM +0000,{00D8058F-174E-46B5-AA9E-9D66B357D4E4},2013,1,37.781141,-122.402655
POINT (-122.469041009462 37.737587947945),186,317 WEST PORTAL AVE,US Post Office,WEST PORTAL,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:24 AM +0000,{78335380-F5E3-4268-A8FC-7A55CC165ED3},2012,8,37.737583,-122.469028
POINT (-122.40118800908 37.789878947775),215,562 MARKET ST,Grant's Tobacconists,MARKET,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:24 AM +0000,{B8692FD5-C9AE-41D9-9A52-529FAC85ED5C},2004,0,37.789874,-122.401175
POINT (-122.412103861255 37.762964272122),1716,499 ALABAMA ST,Project Artaud,ALABAMA,SIDEWALK,1,2,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:22:02 AM +0000,{AC459409-11BD-4B14-BA13-043EECC083C9},2015,8,37.762959,-122.412091
POINT (-122.416145321364 37.792677233378),494,1263 LEAVENWORTH ST,Lebeau Nob Hill Market,LEAVENWORTH,SIDEWALK,2,4,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:21:34 AM +0000,{50ADFBAA-C3D6-4F24-AD52-27210928313A},2015,10,37.792672,-122.416132
POINT (-122.401767008552 37.789807947698),1782,44 MONTGOMERY ST,Union Bank,MONTGOMERY,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:03 AM +0000,{63D138C2-6493-46BB-935D-BFA523EF7F78},2003,0,37.789803,-122.401754
POINT (-122.399964008163 37.791568948062),1001,100 BUSH ST,Noah's Bagels,BUSH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:48 AM +0000,{0D49FF66-DBCD-4836-BBDB-00AE1FF296B6},2011,11,37.791564,-122.399951
POINT (-122.402702208239 37.725387947804),274,2890 SAN BRUNO AVE,Tierra Santa Market,WOOLSEY,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{F7A9DDC1-1572-40EA-8AAB-746CF82C44D5},2015,6,37.725383,-122.402689
POINT (-122.392299510554 37.729803154256),3332,5265 03rd Streeet,Cutz & Blendz,03RD,SIDEWALK,2,4,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:33 AM +0000,{3EB23F62-039D-4994-A358-FA2CCF7B858C},2017,2,37.729798,-122.392286
POINT (-122.41762700873 37.795588948431),2837,1356 PACIFIC AVE,UNKNOWN,PACIFIC,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:33 AM +0000,{09168426-E85C-4CE8-92BC-7EB8C78880EB},2004,0,37.795584,-122.417614
POINT (-122.425616008896 37.762898947505),1800,3579 17TH ST,Studio For Urban Projects,17TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:03 AM +0000,{6B795A9E-A768-4AD1-852F-F1F436FEEC93},2010,7,37.762894,-122.425603
POINT (-122.41430100862 37.779496947968),1768,1170 MARKET ST,The Art Institute of California,MARKET,PARCEL,5,10,,,MTA,10/21/2017 12:22:03 AM +0000,{0BBC4E3F-3184-44D4-8626-D5B9A7740643},2011,11,37.779492,-122.414288
POINT (-122.493600009264 37.782099947958),283,None,Lincoln Park playground,CLEMENT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:19 AM +0000,{9F9D9A9D-0A23-4D48-B5C4-6B1C0D737DE6},2011,6,37.782095,-122.493587
POINT (-122.397195608386 37.762662567693),834,1426 18TH ST,Big Think Studios,18TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:38 AM +0000,{11EADBC7-DAA8-45A3-A08C-53A16E00A2A9},2006,0,37.762658,-122.397182
POINT (-122.429677007933 37.748898947153),894,1270 SANCHEZ ST,Bethany United Methodist Church,SANCHEZ,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:47 AM +0000,{6635636A-9D63-4C70-974F-4CACFA2411C7},2013,4,37.748894,-122.429664
POINT (-122.427477394327 37.75163920298),3381,3801 24th St,Happy Donuts,24TH,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:34 AM +0000,{D9477D85-A5CD-4B51-85BF-0AE9511BA6B2},2016,10,37.751634,-122.427464
POINT (-122.474291009309 37.743358948103),1163,730 TARAVAL ST,Safeway,TARAVAL,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:21 AM +0000,{D305B908-9CA5-4A96-BFEE-723CEFB77C89},2003,0,37.743354,-122.474278
POINT (-122.39758060908 37.785270948031),2462,620 FOLSOM ST,Rackspace,FOLSOM,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:03 AM +0000,{5287CC0A-3202-4F6B-B66E-662E32CAAEFF},2015,7,37.785266,-122.397567
POINT (-122.394934008581 37.775307948001),2575,383 KING ST,Avalon at Mission Bay,KING,SIDEWALK,3,3,,,MTA,10/21/2017 12:21:33 AM +0000,{A4040B68-05B0-4836-9FB5-1C115D019B55},2004,0,37.775303,-122.394921
POINT (-122.402722470123 37.765415249984),3581,350 Rhode Island St,Commercial Building,RHODE ISLAND,SIDEWALK,6,12,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:37 AM +0000,{1A66DC71-6C5F-4F7E-98F7-9E78DB372B18},2016,7,37.76541,-122.402709
POINT (-122.448352008488 37.773363947635),352,1935 HAYES ST,Bend Yoga Studio,HAYES,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:19 AM +0000,{38B8A016-7308-4D10-85C2-3C2AB0211C31},2010,0,37.773359,-122.448339
POINT (-122.397774008846 37.784373947335),2484,655 FOLSOM ST,UNKNOWN,FOLSOM,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:24 AM +0000,{3BDBBC78-287F-48BD-8416-4D72B8CF6FB3},2006,0,37.784369,-122.397761
POINT (-122.445966009384 37.770365947766),540,1428 HAIGHT ST,Squat & Gobble,HAIGHT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:35 AM +0000,{C72AB024-50CE-456E-B494-16539B106788},2002,0,37.770361,-122.445953
POINT (-122.401969008348 37.790735948486),3023,180 MONTGOMERY ST,Bank of the West,MONTGOMERY,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:47 AM +0000,{D29A85C4-44E1-495D-BCDC-2212B4F4A3A9},2011,4,37.790731,-122.401956
POINT (-122.435828009076 37.714336948087),2587,1201 GENEVA AVE,Tienda Santa Marta,NAPLES,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:34 AM +0000,{C7D3412E-F70F-407E-B3C5-DD419FC9D8F7},2013,4,37.714332,-122.435815
POINT (-122.4084100093 37.799762948263),212,562 GREEN ST,Columbus Cafe,GREEN,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:24 AM +0000,{1DCC5519-737B-4A03-AA2C-DB17E04AA984},2002,0,37.799758,-122.408397
POINT (-122.437013008479 37.772103948669),158,298 DIVISADERO ST,The Page Bar,DIVISADERO,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:24 AM +0000,{0D594EA8-C8B2-4A94-9547-7E84512B2444},2010,0,37.772099,-122.437
POINT (-122.411751009125 37.76358294794),1310,499 ALABAMA ST,Project Artaud,ALABAMA,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:22 AM +0000,{7E157ED8-05CF-4D9A-9137-CFFE14441DEF},2005,0,37.763578,-122.411738
POINT (-122.434780208619 37.76228312757),939,3989 17TH ST,Wild Card,17TH,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:48 AM +0000,{846B5DBB-FFE9-44CA-88AA-761338A990B4},2010,11,37.762278,-122.434767
POINT (-122.506820008475 37.735409947727),2402,None,Ocean Beach,GREAT HWY,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:02 AM +0000,{60A19505-9964-4995-8A44-A138D57CD7E7},2010,0,37.735405,-122.506807
POINT (-122.394356009045 37.779824727647),962,602 03RD ST,UNKNOWN,03RD,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:48 AM +0000,{C493A1DC-3DAC-4734-8757-D5C79E00A091},2004,0,37.77982,-122.394343
POINT (-122.454994008456 37.723972947893),2750,1150 OCEAN AVE,Avalon at Ocean,OCEAN,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:24 AM +0000,{7F34D3D6-860D-4AB7-92FB-88258FB7B79D},2012,4,37.723968,-122.454981
POINT (-122.41460240907 37.755810648116),1257,2598 FOLSOM ST,"Delicatessen La Plaza, Casa Guadalupe",22ND,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:47 AM +0000,{2BAFB4E4-8717-4310-8572-B04FE8411535},2015,1,37.755806,-122.414589
POINT (-122.403699749658 37.789502662242),1771,150 KEARNY ST,db shoes (Jamba Juice),KEARNY,SIDEWALK,2,4,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:22:02 AM +0000,{6D4A068D-A630-40D9-9B02-EBFE5957DF12},2015,9,37.789498,-122.403687
POINT (-122.41951300912 37.760470948051),1724,2288 MISSION ST,Taqueria Cancun,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:03 AM +0000,{B651C838-F994-4BE4-944B-89DFFCCE512D},2004,0,37.760466,-122.4195
POINT (-122.425599007911 37.764433947441),689,3271 16TH ST,Laughing Lotus Yoga Center,16TH,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:36 AM +0000,{0E85870A-0C62-4906-9B4F-9ED64103C4AB},2012,8,37.764429,-122.425586
POINT (-122.452290009638 37.769559947725),2979,1816 HAIGHT ST,Shaxul Records,HAIGHT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:39 AM +0000,{D809926D-2009-46E5-9CEA-BF95AAF57213},2006,0,37.769555,-122.452277
POINT (-122.478566008506 37.742767947511),846,1131 TARAVAL ST,Brown Owl Coffee,TARAVAL,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:38 AM +0000,{3BFD14FA-5F1C-4945-B188-8A62CAC934B9},2011,6,37.742763,-122.478553
POINT (-122.42386318676 37.775888946395),1439,368 FELL ST,Progress Foundation,FELL,SIDEWALK,2,4,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:21:49 AM +0000,{90847654-DF89-4D99-B982-9E138B80FE40},2015,10,37.775884,-122.42385
POINT (-122.434585008718 37.792290948129),1617,2455 FILLMORE ST,Tully's Coffee,FILLMORE,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:01 AM +0000,{50442586-3582-4A2E-AC55-7D34F6EB64DB},2010,9,37.792286,-122.434572
POINT (-122.439583294798 37.718521782648),3494,5000 Mission St,Community Center,MISSION,SIDEWALK,2,4,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:34 AM +0000,{F89B34B0-BD07-4250-B280-9DBFA2A7F436},2016,12,37.718517,-122.43957
POINT (-122.412989373865 37.77494630653),1147,207 09TH ST,A2B,09TH,SIDEWALK,1,2,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:21:39 AM +0000,{63B984D5-C40E-47D9-A570-B942B19E7912},2015,11,37.774941,-122.412976
POINT (-122.423128009306 37.776716948412),2862,401 HAYES ST,Christopher Elbow Artisan Chocolates,HAYES,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:36 AM +0000,{FF5C36F1-E4B5-47B9-8BB1-2B22FC5BE8D1},0,0,37.776712,-122.423115
POINT (-122.38847950964 37.761463548308),37,2225 03RD ST,Dignita,03RD,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:50 AM +0000,{0AA3C8F9-1555-4665-A5F7-48D0C6A3D73B},2015,6,37.761459,-122.388466
POINT (-122.392143008698 37.782262947187),100,577 02ND ST,UNKNOWN,02ND,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:50 AM +0000,{E102624C-D9EC-4ED9-AB9A-F51E39131C21},2002,0,37.782258,-122.39213
POINT (-122.389495009609 37.767962948053),1723,1650 03RD ST,Laundry Locker Cleaners,03RD,SIDEWALK,3,3,,,MTA,10/21/2017 12:21:49 AM +0000,{7965D0A3-B124-4AA9-9BD7-3A105EEF95CD},2004,0,37.767958,-122.389482
POINT (-122.430752008548 37.729665947953),1046,4230 MISSION ST,Castro-J R Appliance Repair,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:23 AM +0000,{EC948BA9-14FE-412A-BAB0-04D41D607377},2002,0,37.729661,-122.430739
POINT (-122.396569008775 37.78842294813),2583,500 HOWARD ST,Foundry Square,HOWARD,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:33 AM +0000,{D8CE21DB-EE76-4033-98CE-3C4C31EF0099},2011,11,37.788418,-122.396556
POINT (-122.397582008808 37.785270947752),2190,620 FOLSOM ST,Rackspace and SF Wine Exchange and Meez and ICFI,FOLSOM,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:50 AM +0000,{7B9F5E13-C3D8-45A7-9C8E-6B874B0C7EDA},2012,7,37.785266,-122.397569
POINT (-122.461803009551 37.783315948082),2224,236 CLEMENT ST,Grain D'Or,CLEMENT,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:04 AM +0000,{4B072C80-19D4-43B7-B631-5D730A402FD9},2012,10,37.783311,-122.46179
POINT (-122.435258009352 37.760681948412),1870,500 CASTRO ST,Harvey's,CASTRO,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:49 AM +0000,{D1FCB55E-28DE-4CD3-998D-F603EB514A55},2011,9,37.760677,-122.435245
POINT (-122.50907438431 37.760382509429),3429,1396 La Playa St,java beach cafe,LA PLAYA,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:35 AM +0000,{47087EF1-9C9D-401F-A545-43D6F72A2CD1},2016,8,37.760378,-122.509061
POINT (-122.41880400897 37.752398948324),1361,2798 MISSION ST,China Express,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:20 AM +0000,{E2249012-3EA0-4C56-A181-FAC2E4A607D2},0,0,37.752394,-122.418791
POINT (-122.433119608565 37.783917497632),2306,1539 FILLMORE ST,Hats on Fillmore,FILLMORE,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{97130342-0D3E-42F4-A41D-671C65026FFA},2013,9,37.783913,-122.433106
POINT (-122.46635700947 37.760476947439),295,500 KIRKHAM ST,Roxie Market,KIRKHAM,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:19 AM +0000,{98EE7FB7-6BA8-41E5-8A7F-39B3A092633A},2013,7,37.760472,-122.466344
POINT (-122.412412708552 37.754817347332),3000,2670 HARRISON ST,Local Mission Market,HARRISON,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:47 AM +0000,{4182710A-1A04-4B7D-ACE6-19345BBA51FF},2015,1,37.754812,-122.4124
POINT (-122.390172008352 37.73500394828),143,4705 03RD ST,Bayview Opera House,03RD,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{FB44C5DF-0533-407E-9DAC-4597DCD23FA8},2002,0,37.734999,-122.390159
POINT (-122.426373209001 37.74242774799),1319,1791 CHURCH ST,Minami Beauty Salon,CHURCH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:22 AM +0000,{7CD4E5E5-AA76-4FCC-A9BA-10B33E4C6B07},2015,1,37.742423,-122.42636
POINT (-122.505009708677 37.753140648009),1804,3876 NORIEGA ST,Devil's Teeth Bakery,NORIEGA,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:03 AM +0000,{5C5C6C19-3D24-4F5D-8D0F-869642321AA2},2015,1,37.753136,-122.504996
POINT (-122.410555008076 37.765742947798),1738,1688 BRYANT ST,Jade Cafe,BRYANT,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:02 AM +0000,{323CA956-F267-4173-9A97-085DB05EFFC0},2003,0,37.765738,-122.410542
POINT (-122.420415009613 37.765254948311),1733,3032 16TH ST,La Loma Produce,16TH,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:49 AM +0000,{9B6AE7A4-B2DA-4474-8F89-C13C21A31EE9},2010,9,37.76525,-122.420402
POINT (-122.417361008505 37.777223948177),1975,1390 MARKET ST,Fox Plaza,MARKET,SIDEWALK,5,10,,,MTA,10/21/2017 12:21:51 AM +0000,{5260E173-D1F2-4503-B4A6-A560D5CC348B},2012,9,37.777219,-122.417348
POINT (-122.399416009583 37.792524947233),2156,120 BATTERY ST,UNKNOWN,BATTERY,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:03 AM +0000,{8F2EE462-4E2D-49BB-9ACC-EDCF6CCBFEA4},2004,0,37.79252,-122.399403
POINT (-122.477876166863 37.782410447891),3232,1744 Clement St,88 Laundromat and Cleaners,CLEMENT,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:48 AM +0000,{371797BA-68C6-43EC-9152-6552849CB51F},2017,5,37.782406,-122.477863
POINT (-122.433460008464 37.72605994755),2198,4501 MISSION ST,EXCELSIOR LIQUOR,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:50 AM +0000,{18CF7AF4-B6F8-404D-9C88-92B3BF0BC91C},2015,1,37.726055,-122.433447
POINT (-122.41595600825 37.775861947905),1956,1398 MISSION ST,Cumaica Coffee,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{375DA38D-D1E6-4B18-AFC8-CB899B92779D},2012,9,37.775857,-122.415943
POINT (-122.421365008645 37.756344947782),326,1032 VALENCIA ST,Lost Weekend Video,VALENCIA,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:19 AM +0000,{0A2E277E-42CF-4050-813A-6C1846EAE4A0},2005,0,37.75634,-122.421352
POINT (-122.394083008739 37.77470394792),1722,201 BERRY ST,Philz Coffee,BERRY,SIDEWALK,3,3,,,MTA,10/21/2017 12:22:03 AM +0000,{3FB0056D-8A0D-430D-99B1-4EB56F3547FF},2004,0,37.774699,-122.39407
POINT (-122.40133410524 37.7944550951),3527,450 Sansome St,Umpqua Bank,SANSOME,SIDEWALK,2,4,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:36 AM +0000,{563522E9-511C-42F0-8AC4-6990B688015A},2016,8,37.79445,-122.401321
POINT (-122.421906008263 37.761812947822),2661,696 VALENCIA ST,F.S.C Barber,VALENCIA,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:35 AM +0000,{180F0B31-DD9C-468E-8BB5-D4BF6835EE48},2012,7,37.761808,-122.421893
POINT (-122.43084413098 37.774444503356),1179,548 FILLMORE ST,The Center SF,FILLMORE,SIDEWALK,1,2,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:21:39 AM +0000,{31B808AA-120E-4A8D-9219-5AD9E77BE5A4},2015,10,37.77444,-122.430831
POINT (-122.414515008908 37.771823948257),911,1516 FOLSOM ST,Sushi Groove,FOLSOM,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:47 AM +0000,{5E6784AE-AB58-4A30-9728-84C75C904DE1},2010,9,37.771819,-122.414502
POINT (-122.409155387625 37.781223735308),3585,74 06th Street,Baldwin Hotel,06TH,SIDEWALK,3,6,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:37 AM +0000,{5B5A64A5-43D8-4F5D-A114-338B6C49EDD5},2016,8,37.781219,-122.409142
POINT (-122.418734648477 37.773009449394),910,1600 MISSION ST,Taqueria Cazadores,MISSION,SIDEWALK,2,4,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:21:47 AM +0000,{3ED5AD2D-0BD0-46A5-92BD-5838FE80B68D},2015,9,37.773005,-122.418721
POINT (-122.404753008859 37.795373947722),1797,680 WASHINGTON ST,City College of SF Chinatown North Beach Campus,WASHINGTON,SIDEWALK,3,6,,,MTA,10/21/2017 12:21:25 AM +0000,{DC50F432-F6B3-4793-AC0B-1282802F2DBC},2012,0,37.795369,-122.40474
POINT (-122.403856009212 37.795666947892),2879,9 COLUMBUS AVE,Hotel Whitcomb,COLUMBUS,SIDEWALK,4,8,,,MTA,10/21/2017 12:21:37 AM +0000,{5030F57C-E985-413B-AFE9-6127316D2CFB},2010,0,37.795662,-122.403843
POINT (-122.421491908549 37.757838548536),93,938 VALENCIA ST,Dolores Street Community Services,VALENCIA,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:23 AM +0000,{627EC7C2-1B86-4371-BAFC-8D5420A0FD55},2015,1,37.757834,-122.421479
POINT (-122.459299708446 37.78340743724),1064,2 CLEMENT ST,Clement Mini Mart,CLEMENT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:23 AM +0000,{C95FC187-551E-4DED-9A48-917BD63ADC4C},2012,8,37.783403,-122.459286
POINT (-122.389020008782 37.750452947617),2752,1100 CESAR CHAVEZ ST,Veritable Vegetable,CESAR CHAVEZ,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:24 AM +0000,{558AA8C1-1753-45FA-91E7-1C00ECE7314E},2011,4,37.750448,-122.389007
POINT (-122.421111008996 37.759763947464),974,819 VALENCIA ST,UNKNOWN,VALENCIA,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:21 AM +0000,{621B9B49-ED6E-4695-AADC-ECBA99B76EA4},2005,0,37.759759,-122.421098
POINT (-122.459337009379 37.782898947936),1523,405 ARGUELLO BLVD,T & T Nails,ARGUELLO,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:53 AM +0000,{BB443967-3F1B-4D90-9EF0-96AE751236B5},2010,9,37.782894,-122.459324
POINT (-122.407886009117 37.712454947491),1742,201 LELAND AVE,Visitacion Valley Library,LELAND,SIDEWALK,5,10,,,MTA,10/21/2017 12:22:03 AM +0000,{1765106D-98D5-42B0-B3F4-6A15A20D6F89},2009,0,37.71245,-122.407873
POINT (-122.388735408132 37.759590148166),2791,2368 03RD ST,Poquito,03RD,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:25 AM +0000,{75755867-2ED5-44CE-9DDA-36510BB7A63E},2015,6,37.759585,-122.388722
POINT (-122.417318908293 37.767174697578),1866,381 SOUTH VAN NESS AVE,Walzwerk,S VAN NESS,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:49 AM +0000,{16E00004-7446-4F6C-9F37-A43EF8F1C736},2013,9,37.76717,-122.417306
POINT (-122.397336009207 37.778659948065),1258,564 04TH ST,Cockscomb Restaurant,04TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:47 AM +0000,{2B8DA1C3-C835-4463-BF64-1E1351026DD7},2015,1,37.778655,-122.397323
POINT (-122.434701008881 37.760627948639),358,501 CASTRO ST,Bank of America,CASTRO,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:52 AM +0000,{FFF5FCF9-0169-4CCA-B54E-B7CB06AB659A},2011,8,37.760623,-122.434688
POINT (-122.409386008456 37.774975948529),2819,301 08TH ST,Prelinger Library,08TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:33 AM +0000,{BA7E8054-97B9-4890-B0F1-A66D2C78946F},2002,0,37.774971,-122.409373
POINT (-122.415274708978 37.759079618211),1014,583 SHOTWELL ST,Timbuk2,SHOTWELL,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:22 AM +0000,{3A54079E-983D-4F91-B754-33A2B21577A9},2003,0,37.759075,-122.415262
POINT (-122.45759800848 37.786185948012),1199,3838 CALIFORNIA ST,CPMC,CALIFORNIA,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:39 AM +0000,{07630D13-6E26-45C5-929A-BA6F85C8043C},2010,9,37.786181,-122.457585
POINT (-122.436129008677 37.751416948348),266,741 DIAMOND ST,Academy of Art University,DIAMOND,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:19 AM +0000,{C73E85A9-D101-4579-A18A-69502057913B},2010,0,37.751412,-122.436116
POINT (-122.419841108943 37.751971497757),2021,300 BARTLETT ST,Mission Library,BARTLETT,PARCEL,1,5,,,MTA,10/21/2017 12:21:25 AM +0000,{AECBD9A8-3AA7-41BB-8102-C714378A94CD},0,0,37.751967,-122.419828
POINT (-122.392547008484 37.781822948298),1278,300 BRANNAN ST,United Barbell CrossFit SOMA,BRANNAN,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:47 AM +0000,{821FABE1-DA3E-423C-801B-880CC6166B16},2012,8,37.781818,-122.392534
POINT (-122.409811008447 37.782662948042),2510,986 MARKET ST,Equator Coffee,MARKET,SIDEWALK,0,0,,,MTA,10/21/2017 12:21:24 AM +0000,{DEDE5468-65DF-44B4-807E-B4C8CAD8703D},0,0,37.782658,-122.409798
POINT (-122.452174008429 37.787760587847),162,3600 SACRAMENTO ST,Bathsense,SACRAMENTO,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:24 AM +0000,{35D89F93-1F18-49DD-97F9-4175D8C68D43},2012,5,37.787756,-122.452161
